Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Nov 15 2021 12:06:38 GMT+0000 (Greenwich Mean Time)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,People Receiving a Booster Dose,Total People Receiving a Booster Dose,7-Day Average Daily Count Booster
Report,2021-05-18,US,,,,,,,1123306,1771807,,,,N/A,N/A,N/A
Admin,2021-05-19,US,2076438,989920,297301952,167198295,900766,1916933,,,1157659,135655979,1074856,0,0,0
Report,2021-05-19,US,,,,,,,1754966,1801333,,,,N/A,N/A,N/A
Admin,2021-05-20,US,2005309,925852,299307261,168124147,899280,1879960,,,1149781,136805760,1042148,0,0,0
Report,2021-05-20,US,,,,,,,2107077,1828681,,,,N/A,N/A,N/A
Admin,2021-05-21,US,2045427,937708,301352688,169061855,876332,1823698,,,1174533,137980293,1009019,0,0,0
Report,2021-05-21,US,,,,,,,2198101,1879526,,,,N/A,N/A,N/A
Admin,2021-05-22,US,1439503,732879,302792191,169794734,850746,1766997,,,755684,138735977,977798,0,0,0
Report,2021-05-22,US,,,,,,,2345872,1872697,,,,N/A,N/A,N/A
Admin,2021-05-23,US,654557,340206,303446748,170134940,830820,1727894,,,339943,139075920,958062,0,0,0
Report,2021-05-23,US,,,,,,,1779363,1827882,,,,N/A,N/A,N/A
Admin,2021-05-24,US,1310043,635745,304756791,170770685,794044,1656197,,,733939,139809859,921675,0,0,0
Report,2021-05-24,US,,,,,,,1170314,1782714,,,,N/A,N/A,N/A
Admin,2021-05-25,US,1426623,668778,306183414,171439463,747298,1565414,,,819366,140629225,875843,0,0,0
Report,2021-05-25,US,,,,,,,897972,1750524,,,,N/A,N/A,N/A
Admin,2021-05-26,US,1421694,661329,307605108,172100792,700357,1471879,,,816834,141446059,827154,0,0,0
Report,2021-05-26,US,,,,,,,1423432,1703162,,,,N/A,N/A,N/A
Admin,2021-05-27,US,1334424,616602,308939532,172717394,656178,1376038,,,774529,142220588,773546,0,0,0
Report,2021-05-27,US,,,,,,,1512303,1618194,,,,N/A,N/A,N/A
Admin,2021-05-28,US,1315342,605821,310254874,173323215,608766,1271740,,,765584,142986172,715125,0,0,0
Report,2021-05-28,US,,,,,,,1375171,1500632,,,,N/A,N/A,N/A
Admin,2021-05-29,US,758826,381426,311013700,173704641,558558,1174501,,,411400,143397572,665942,0,0,0
Report,2021-05-29,US,,,,,,,1605272,1394832,,,,N/A,N/A,N/A
Admin,2021-05-30,US,380634,201362,311394334,173906003,538723,1135369,,,199600,143597172,645893,0,0,0
Report,2021-05-30,US,,,,,,,1223800,1315466,,,,N/A,N/A,N/A
Admin,2021-05-31,US,197620,88356,311591954,173994359,460525,976451,,,118444,143715616,557965,0,0,0
Report,2021-05-31,US,,,,,,,962475,1285775,,,,N/A,N/A,N/A
Admin,2021-06-01,US,1245962,525397,312837916,174519756,440042,950643,,,762088,144477704,549782,0,0,0
Report,2021-06-01,US,,,,,,,512915,1230767,,,,N/A,N/A,N/A
Admin,2021-06-02,US,1106420,495595,313944336,175015351,416366,905604,,,663055,145140759,527814,0,0,0
Report,2021-06-02,US,,,,,,,508652,1100084,,,,N/A,N/A,N/A
Admin,2021-06-03,US,1235512,466556,315179848,175481907,394930,891473,,,817510,145958269,533954,0,0,0
Report,2021-06-03,US,,,,,,,808036,999474,,,,N/A,N/A,N/A
Admin,2021-06-04,US,1388340,505321,316568188,175987228,380573,901902,,,931058,146889327,557593,0,0,0
Report,2021-06-04,US,,,,,,,1399594,1002963,,,,N/A,N/A,N/A
Admin,2021-06-05,US,1059516,355386,317627704,176342614,376853,944857,,,733165,147622492,603560,0,0,0
Report,2021-06-05,US,,,,,,,1148208,937669,,,,N/A,N/A,N/A
Admin,2021-06-06,US,509641,172899,318137345,176515513,372787,963287,,,352648,147975140,625424,0,0,0
Report,2021-06-06,US,,,,,,,1369848,958533,,,,N/A,N/A,N/A
Admin,2021-06-07,US,1058582,373779,319195927,176889292,413562,1086281,,,721163,148696303,711526,0,0,0
Report,2021-06-07,US,,,,,,,1213339,994370,,,,N/A,N/A,N/A
Admin,2021-06-08,US,1163922,406230,320359849,177295522,396538,1074561,,,798269,149494572,716695,0,0,0
Report,2021-06-08,US,,,,,,,1071750,1074204,,,,N/A,N/A,N/A
Admin,2021-06-09,US,1155045,394156,321514894,177689678,382047,1081508,,,802017,150296589,736547,0,0,0
Report,2021-06-09,US,,,,,,,829809,1120083,,,,N/A,N/A,N/A
Admin,2021-06-10,US,1158092,407372,322672986,178097050,373592,1070448,,,792585,151089174,732986,0,0,0
Report,2021-06-10,US,,,,,,,934142,1138099,,,,N/A,N/A,N/A
Admin,2021-06-11,US,1221263,430301,323894249,178527351,362875,1046580,,,832140,151921314,718855,0,0,0
Report,2021-06-11,US,,,,,,,822177,1055610,,,,N/A,N/A,N/A
Admin,2021-06-12,US,885980,282327,324780229,178809678,352438,1021789,,,627800,152549114,703803,0,0,0
Report,2021-06-12,US,,,,,,,1602933,1120571,,,,N/A,N/A,N/A
Admin,2021-06-13,US,388389,113725,325168618,178923403,343984,1004467,,,289474,152838588,694778,0,0,0
Report,2021-06-13,US,,,,,,,1209817,1097710,,,,N/A,N/A,N/A
Admin,2021-06-14,US,903082,333169,326071700,179256572,338183,982253,,,603625,153442213,677987,0,0,0
Report,2021-06-14,US,,,,,,,1323282,1113416,,,,N/A,N/A,N/A
Admin,2021-06-15,US,969057,362828,327040757,179619400,331983,954415,,,643597,154085810,655891,0,0,0
Report,2021-06-15,US,,,,,,,1240847,1137572,,,,N/A,N/A,N/A
Admin,2021-06-16,US,936151,360158,327976908,179979558,327126,923144,,,615505,154701315,629246,0,0,0
Report,2021-06-16,US,,,,,,,1028496,1165956,,,,N/A,N/A,N/A
Admin,2021-06-17,US,884561,352483,328861469,180332041,319284,884069,,,574395,155275710,598076,0,0,0
Report,2021-06-17,US,,,,,,,2054216,1325967,,,,N/A,N/A,N/A
Admin,2021-06-18,US,912660,370270,329774129,180702311,310709,839982,,,580571,155856281,562138,0,0,0
Report,2021-06-18,US,,,,,,,1079390,1362712,,,,N/A,N/A,N/A
Admin,2021-06-19,US,570659,232239,330344788,180934550,303553,794937,,,361360,156217641,524075,0,0,0
Report,2021-06-19,US,,,,,,,1069021,1286438,,,,N/A,N/A,N/A
Admin,2021-06-20,US,273548,112199,330618336,181046749,303335,778531,,,171765,156389406,507259,0,0,0
Report,2021-06-20,US,,,,,,,848611,1234838,,,,N/A,N/A,N/A
Admin,2021-06-21,US,554613,301922,331172949,181348671,298871,728749,,,283826,156673232,461574,0,0,0
Report,2021-06-21,US,,,,,,,610033,1132945,,,,N/A,N/A,N/A
Admin,2021-06-22,US,748630,325338,331921579,181674009,293516,697260,,,456526,157129758,434849,0,0,0
Report,2021-06-22,US,,,,,,,647403,1048167,,,,N/A,N/A,N/A
Admin,2021-06-23,US,729313,331811,332650892,182005820,289466,667712,,,429382,157559140,408260,0,0,0
Report,2021-06-23,US,,,,,,,648209,993840,,,,N/A,N/A,N/A
Admin,2021-06-24,US,693683,320501,333344575,182326321,284897,640443,,,406044,157965184,384210,0,0,0
Report,2021-06-24,US,,,,,,,815152,816831,,,,N/A,N/A,N/A
Admin,2021-06-25,US,759788,352526,334104363,182678847,282362,618604,,,437518,158402702,363774,0,0,0
Report,2021-06-25,US,,,,,,,512174,735800,,,,N/A,N/A,N/A
Admin,2021-06-26,US,494953,226296,334599316,182905143,281513,607789,,,287744,158690446,353257,0,0,0
Report,2021-06-26,US,,,,,,,923724,715044,,,,N/A,N/A,N/A
Admin,2021-06-27,US,264813,127313,334864129,183032456,283672,606541,,,146584,158837030,349660,0,0,0
Report,2021-06-27,US,,,,,,,1204225,765846,,,,N/A,N/A,N/A
Admin,2021-06-28,US,548186,276494,335412315,183308950,280040,605623,,,296316,159133346,351444,0,0,0
Report,2021-06-28,US,,,,,,,1087043,833990,,,,N/A,N/A,N/A
Admin,2021-06-29,US,622606,298848,336034921,183607798,276256,587620,,,348356,159481702,335992,0,0,0
Report,2021-06-29,US,,,,,,,738476,847000,,,,N/A,N/A,N/A
Admin,2021-06-30,US,624969,308452,336659890,183916250,272919,572714,,,342232,159823934,323542,0,0,0
Report,2021-06-30,US,,,,,,,1368679,949925,,,,N/A,N/A,N/A
Admin,2021-07-01,US,593090,290610,337252980,184206860,268648,558343,,,323399,160147333,311735,0,0,0
Report,2021-07-01,US,,,,,,,1630778,1066443,,,,N/A,N/A,N/A
Admin,2021-07-02,US,614225,306654,337867205,184513514,262095,537548,,,331892,160479225,296646,0,0,0
Report,2021-07-02,US,,,,,,,657166,1087156,,,,N/A,N/A,N/A
Admin,2021-07-03,US,352352,179914,338219557,184693428,255469,517177,,,183958,160663183,281819,0,0,0
Report,2021-07-03,US,,,,,,,1161081,1121064,,,,N/A,N/A,N/A
Admin,2021-07-04,US,49515,27537,338269072,184720965,241216,486420,,,26411,160689594,264652,0,0,0
Report,2021-07-04,US,,,,,,,633702,1039561,,,,N/A,N/A,N/A
Admin,2021-07-05,US,392231,201127,338661303,184922092,230449,464141,,,202907,160892501,251307,0,0,0
Report,2021-07-05,US,,,,,,,390686,940081,,,,N/A,N/A,N/A
Admin,2021-07-06,US,577609,274680,339238912,185196772,226996,457713,,,326550,161219051,248192,0,0,0
Report,2021-07-06,US,,,,,,,219408,865929,,,,N/A,N/A,N/A
Admin,2021-07-07,US,563837,282233,339802749,185479005,223251,448979,,,307674,161526725,243255,0,0,0
Report,2021-07-07,US,,,,,,,437117,732848,,,,N/A,N/A,N/A
Admin,2021-07-08,US,559836,289033,340362585,185768038,223025,444229,,,299135,161825860,239789,0,0,0
Report,2021-07-08,US,,,,,,,694333,599070,,,,N/A,N/A,N/A
Admin,2021-07-09,US,626310,322221,340988895,186090259,225249,445955,,,333114,162158974,239964,0,0,0
Report,2021-07-09,US,,,,,,,620612,593848,,,,N/A,N/A,N/A
Admin,2021-07-10,US,397004,211263,341385899,186301522,229728,452334,,,201291,162360265,242440,0,0,0
Report,2021-07-10,US,,,,,,,598995,513550,,,,N/A,N/A,N/A
Admin,2021-07-11,US,214153,116208,341600052,186417730,242395,475854,,,104956,162465221,253661,0,0,0
Report,2021-07-11,US,,,,,,,586244,506771,,,,N/A,N/A,N/A
Admin,2021-07-12,US,513796,274304,342113848,186692034,252849,493220,,,262782,162728003,262214,0,0,0
Report,2021-07-12,US,,,,,,,449122,515119,,,,N/A,N/A,N/A
Admin,2021-07-13,US,521229,280881,342635077,186972915,253735,485166,,,260366,162988369,252759,0,0,0
Report,2021-07-13,US,,,,,,,341466,532556,,,,N/A,N/A,N/A
Admin,2021-07-14,US,524555,282675,343159632,187255590,253798,479554,,,261314,163249683,246136,0,0,0
Report,2021-07-14,US,,,,,,,545543,548045,,,,N/A,N/A,N/A
Admin,2021-07-15,US,534877,297094,343694509,187552684,254949,475989,,,256887,163506570,240101,0,0,0
Report,2021-07-15,US,,,,,,,567174,529879,,,,N/A,N/A,N/A
Admin,2021-07-16,US,618881,346854,344313390,187899538,258468,474927,,,290473,163797043,234009,0,0,0
Report,2021-07-16,US,,,,,,,549205,519678,,,,N/A,N/A,N/A
Admin,2021-07-17,US,396455,223548,344709845,188123086,260223,474849,,,184066,163981109,231549,0,0,0
Report,2021-07-17,US,,,,,,,635290,524863,,,,N/A,N/A,N/A
Admin,2021-07-18,US,231795,135178,344941640,188258264,262933,477369,,,102486,164083595,231196,0,0,0
Report,2021-07-18,US,,,,,,,500910,512673,,,,N/A,N/A,N/A
Admin,2021-07-19,US,562791,339132,345504431,188597396,272195,484369,,,242183,164325778,228253,0,0,0
Report,2021-07-19,US,,,,,,,507076,520952,,,,N/A,N/A,N/A
Admin,2021-07-20,US,598531,371528,346102962,188968924,285144,495412,,,247189,164572967,226371,0,0,0
Report,2021-07-20,US,,,,,,,243940,507020,,,,N/A,N/A,N/A
Admin,2021-07-21,US,623688,385494,346726650,189354418,299833,509574,,,257279,164830246,225794,0,0,0
Report,2021-07-21,US,,,,,,,611493,516441,,,,N/A,N/A,N/A
Admin,2021-07-22,US,643080,415236,347369730,189769654,316710,525031,,,247754,165078000,224490,0,0,0
Report,2021-07-22,US,,,,,,,660898,529830,,,,N/A,N/A,N/A
Admin,2021-07-23,US,740973,486731,348110703,190256385,336692,542473,,,276395,165354395,222478,0,0,0
Report,2021-07-23,US,,,,,,,600157,537109,,,,N/A,N/A,N/A
Admin,2021-07-24,US,459851,301375,348570554,190557760,347811,551529,,,169205,165523600,220355,0,0,0
Report,2021-07-24,US,,,,,,,676050,542932,,,,N/A,N/A,N/A
Admin,2021-07-25,US,257182,201163,348827736,190758923,357237,555156,,,60957,165584557,214423,0,0,0
Report,2021-07-25,US,,,,,,,778996,582659,,,,N/A,N/A,N/A
Admin,2021-07-26,US,637569,445348,349465305,191204271,372411,565839,,,213574,165798131,210336,0,0,0
Report,2021-07-26,US,,,,,,,393083,566374,,,,N/A,N/A,N/A
Admin,2021-07-27,US,694880,478721,350160185,191682992,387724,579603,,,242016,166040147,209597,0,0,0
Report,2021-07-27,US,,,,,,,395489,588024,,,,N/A,N/A,N/A
Admin,2021-07-28,US,712781,488558,350872966,192171550,402447,592330,,,249900,166290047,208543,0,0,0
Report,2021-07-28,US,,,,,,,753984,608380,,,,N/A,N/A,N/A
Admin,2021-07-29,US,712799,495139,351585765,192666689,413862,602290,,,243527,166533574,207939,0,0,0
Report,2021-07-29,US,,,,,,,710071,615404,,,,N/A,N/A,N/A
Admin,2021-07-30,US,825416,571183,352411181,193237872,425927,614354,,,281508,166815082,208669,0,0,0
Report,2021-07-30,US,,,,,,,856919,652085,,,,N/A,N/A,N/A
Admin,2021-07-31,US,508860,344509,352920041,193582381,432089,621355,,,175053,166990135,209505,0,0,0
Report,2021-07-31,US,,,,,,,711952,657213,,,,N/A,N/A,N/A
Admin,2021-08-01,US,315407,221104,353235448,193803485,434937,629673,,,94735,167084870,214330,0,0,0
Report,2021-08-01,US,,,,,,,816203,662529,,,,N/A,N/A,N/A
Admin,2021-08-02,US,710358,501388,353945806,194304873,442943,640071,,,230260,167315130,216714,0,0,0
Report,2021-08-02,US,,,,,,,467676,673185,,,,N/A,N/A,N/A
Admin,2021-08-03,US,754038,534137,354699844,194839010,450860,648522,,,246446,167561576,217347,0,0,0
Report,2021-08-03,US,,,,,,,452804,681373,,,,N/A,N/A,N/A
Admin,2021-08-04,US,768457,547673,355468301,195386683,459305,656476,,,248040,167809616,217081,0,0,0
Report,2021-08-04,US,,,,,,,725329,677279,,,,N/A,N/A,N/A
Admin,2021-08-05,US,782452,554355,356250753,195941038,467764,666426,,,257342,168066958,219054,0,0,0
Report,2021-08-05,US,,,,,,,863941,699261,,,,N/A,N/A,N/A
Admin,2021-08-06,US,895869,619952,357146622,196560990,474731,676491,,,302880,168369838,222108,0,0,0
Report,2021-08-06,US,,,,,,,821060,694138,,,,N/A,N/A,N/A
Admin,2021-08-07,US,551654,378939,357698276,196939929,479650,682605,,,184875,168554713,223511,0,0,0
Report,2021-08-07,US,,,,,,,839709,712389,,,,N/A,N/A,N/A
Admin,2021-08-08,US,344956,234975,358043232,197174904,481631,686826,,,114385,168669098,226318,0,0,0
Report,2021-08-08,US,,,,,,,773742,706323,,,,N/A,N/A,N/A
Admin,2021-08-09,US,772766,516116,358815998,197691020,483735,695741,,,279432,168948530,233342,0,0,0
Report,2021-08-09,US,,,,,,,532245,715547,,,,N/A,N/A,N/A
Admin,2021-08-10,US,789441,525677,359605439,198216697,482527,700799,,,287031,169235561,239140,0,0,0
Report,2021-08-10,US,,,,,,,617769,739114,,,,N/A,N/A,N/A
Admin,2021-08-11,US,758742,494336,360364181,198711033,474907,699411,,,288305,169523866,244892,0,0,0
Report,2021-08-11,US,,,,,,,654600,729009,,,,N/A,N/A,N/A
Admin,2021-08-12,US,793133,509668,361157314,199220701,468523,700937,,,305847,169829713,251822,0,0,0
Report,2021-08-12,US,,,,,,,654350,699068,,,,N/A,N/A,N/A
Admin,2021-08-13,US,935749,575871,362093063,199796572,462226,706634,,,380261,170209974,262876,12487,12487,1784
Report,2021-08-13,US,,,,,,,918056,712924,,,,N/A,N/A,N/A
Admin,2021-08-14,US,617026,360487,362710089,200157059,459590,715973,,,237054,170447028,270330,33592,46079,6583
Report,2021-08-14,US,,,,,,,990875,734520,,,,N/A,N/A,N/A
Admin,2021-08-15,US,393310,210623,363103399,200367682,456111,722881,,,157889,170604917,276545,30657,76736,10962
Report,2021-08-15,US,,,,,,,664840,718962,,,,N/A,N/A,N/A
Admin,2021-08-16,US,858925,463043,363962324,200830725,448529,735189,,,346321,170951238,286101,75580,152316,21759
Report,2021-08-16,US,,,,,,,858392,765555,,,,N/A,N/A,N/A
Admin,2021-08-17,US,910063,488679,364872387,201319404,443244,752421,,,355204,171306442,295840,93562,245878,35125
Report,2021-08-17,US,,,,,,,602938,763436,,,,N/A,N/A,N/A
Admin,2021-08-18,US,937856,485649,365810243,201805053,442003,778008,,,369600,171676042,307453,109929,355807,50830
Report,2021-08-18,US,,,,,,,704840,770613,,,,N/A,N/A,N/A
Admin,2021-08-19,US,929791,478178,366740034,202283231,437504,797531,,,371950,172047992,316897,107923,463730,66247
Report,2021-08-19,US,,,,,,,1023545,823355,,,,N/A,N/A,N/A
Admin,2021-08-20,US,1088973,535658,367829007,202818889,431760,819420,,,466158,172514150,329168,114554,578284,80828
Report,2021-08-20,US,,,,,,,1010907,836620,,,,N/A,N/A,N/A
Admin,2021-08-21,US,655149,319895,368484156,203138784,425961,824866,,,289535,172803685,336665,57649,635933,84265
Report,2021-08-21,US,,,,,,,1050277,845106,,,,N/A,N/A,N/A
Admin,2021-08-22,US,383333,182900,368867489,203321684,422000,823441,,,174747,172978432,339073,29480,665413,84097
Report,2021-08-22,US,,,,,,,973207,889158,,,,N/A,N/A,N/A
Admin,2021-08-23,US,905599,440079,369773088,203761763,418720,830109,,,394796,173373228,345998,91434,756847,86362
Report,2021-08-23,US,,,,,,,610018,853676,,,,N/A,N/A,N/A
Admin,2021-08-24,US,934643,460088,370707731,204221851,414635,833620,,,403625,173776853,352915,94354,851201,86475
Report,2021-08-24,US,,,,,,,648003,860114,,,,N/A,N/A,N/A
Admin,2021-08-25,US,950236,467486,371657967,204689337,412041,835389,,,410637,174187490,358778,97232,948433,84661
Report,2021-08-25,US,,,,,,,926909,891838,,,,N/A,N/A,N/A
Admin,2021-08-26,US,972610,473990,372630577,205163327,411442,841506,,,420169,174607659,365666,104376,1052809,84154
Report,2021-08-26,US,,,,,,,924973,877756,,,,N/A,N/A,N/A
Admin,2021-08-27,US,1149471,531846,373780048,205695173,410898,850148,,,523236,175130895,373820,119075,1171884,84800
Report,2021-08-27,US,,,,,,,1070810,886314,,,,N/A,N/A,N/A
Admin,2021-08-28,US,699736,317811,374479784,206012984,410600,856518,,,330916,175461811,379732,60385,1232269,85191
Report,2021-08-28,US,,,,,,,1073386,889615,,,,N/A,N/A,N/A
Admin,2021-08-29,US,422481,192618,374902265,206205602,411988,862110,,,199688,175661499,383295,33274,1265543,85733
Report,2021-08-29,US,,,,,,,951864,886566,,,,N/A,N/A,N/A
Admin,2021-08-30,US,907443,414770,375809708,206620372,408373,862374,,,417817,176079316,386584,93698,1359241,86056
Report,2021-08-30,US,,,,,,,693177,898446,,,,N/A,N/A,N/A
Admin,2021-08-31,US,908648,417100,376718356,207037472,402232,858660,,,408395,176487711,387265,102153,1461394,87170
Report,2021-08-31,US,,,,,,,655116,899462,,,,N/A,N/A,N/A
Admin,2021-09-01,US,902665,421509,377621021,207458981,395663,851864,,,393689,176881400,384844,107807,1569201,88681
Report,2021-09-01,US,,,,,,,1068102,919633,,,,N/A,N/A,N/A
Admin,2021-09-02,US,876113,400451,378497134,207859432,385158,838079,,,387540,177268940,380183,107418,1676619,89116
Report,2021-09-02,US,,,,,,,836488,906992,,,,N/A,N/A,N/A
Admin,2021-09-03,US,1020177,452002,379517311,208311434,373752,819609,,,474512,177743452,373222,112184,1788803,88131
Report,2021-09-03,US,,,,,,,1400192,954046,,,,N/A,N/A,N/A
Admin,2021-09-04,US,549924,245153,380067235,208556587,363372,798207,,,269071,178012523,364387,41478,1830281,85430
Report,2021-09-04,US,,,,,,,972115,939579,,,,N/A,N/A,N/A
Admin,2021-09-05,US,359427,167552,380426662,208724139,359791,789199,,,167939,178180462,359851,25429,1855710,84310
Report,2021-09-05,US,,,,,,,599430,889231,,,,N/A,N/A,N/A
Admin,2021-09-06,US,171303,80946,380597965,208805085,312102,684036,,,83067,178263529,312030,10078,1865788,72364
Report,2021-09-06,US,,,,,,,404549,847999,,,,N/A,N/A,N/A
Admin,2021-09-07,US,890366,352793,381488331,209157878,302915,681425,,,465073,178728602,320127,86728,1952516,70160
Report,2021-09-07,US,,,,,,,502475,826193,,,,N/A,N/A,N/A
Admin,2021-09-08,US,826772,365077,382315103,209522955,294853,670583,,,388790,179117392,319427,89863,2042379,67597
Report,2021-09-08,US,,,,,,,959754,810715,,,,N/A,N/A,N/A
Admin,2021-09-09,US,827586,370537,383142689,209893492,290580,663650,,,383843,179501235,318899,91239,2133618,65286
Report,2021-09-09,US,,,,,,,666933,786493,,,,N/A,N/A,N/A
Admin,2021-09-10,US,1011063,447072,384153752,210340564,289876,662348,,,483990,179985225,320253,100166,2233784,63569
Report,2021-09-10,US,,,,,,,947652,721844,,,,N/A,N/A,N/A
Admin,2021-09-11,US,584943,257258,384738695,210597822,291605,667351,,,290101,180275326,323257,45665,2279449,64167
Report,2021-09-11,US,,,,,,,902503,711899,,,,N/A,N/A,N/A
Admin,2021-09-12,US,342419,155890,385081114,210753712,289939,664921,,,167761,180443087,323232,20929,2300378,63524
Report,2021-09-12,US,,,,,,,769683,736221,,,,N/A,N/A,N/A
Admin,2021-09-13,US,762277,334488,385843391,211088200,326159,749346,,,371300,180814387,364408,70666,2371044,72179
Report,2021-09-13,US,,,,,,,589822,762689,,,,N/A,N/A,N/A
Admin,2021-09-14,US,732685,314148,386576076,211402348,320639,726820,,,366109,181180496,350270,69232,2440276,69680
Report,2021-09-14,US,,,,,,,621540,779698,,,,N/A,N/A,N/A
Admin,2021-09-15,US,741180,310273,387317256,211712621,312809,714593,,,376436,181556932,348505,71106,2511382,67000
Report,2021-09-15,US,,,,,,,841530,762809,,,,N/A,N/A,N/A
Admin,2021-09-16,US,741839,309029,388059095,212021650,304023,702343,,,378968,181935900,347809,72158,2583540,64275
Report,2021-09-16,US,,,,,,,743608,773763,,,,N/A,N/A,N/A
Admin,2021-09-17,US,881319,349411,388940414,212371061,290071,683808,,,465207,182401107,345126,84253,2667793,62001
Report,2021-09-17,US,,,,,,,956474,775023,,,,N/A,N/A,N/A
Admin,2021-09-18,US,509770,204256,389450184,212575317,282499,673069,,,266842,182667949,341803,45247,2713040,61942
Report,2021-09-18,US,,,,,,,916413,777010,,,,N/A,N/A,N/A
Admin,2021-09-19,US,297645,118639,389747829,212693956,277178,666673,,,159218,182827167,340582,21310,2734350,61996
Report,2021-09-19,US,,,,,,,674722,763444,,,,N/A,N/A,N/A
Admin,2021-09-20,US,670221,264567,390418050,212958523,267189,653522,,,338729,183165896,335929,80043,2814393,63336
Report,2021-09-20,US,,,,,,,651869,772308,,,,N/A,N/A,N/A
Admin,2021-09-21,US,659258,261456,391077308,213219979,259662,643033,,,330579,183496475,330854,83271,2897664,65341
Report,2021-09-21,US,,,,,,,542935,761079,,,,N/A,N/A,N/A
Admin,2021-09-22,US,649681,254426,391726989,213474405,251683,629961,,,324603,183821078,323449,80516,2978180,66685
Report,2021-09-22,US,,,,,,,712900,742703,,,,N/A,N/A,N/A
Admin,2021-09-23,US,658860,256071,392385849,213730476,244118,618107,,,317067,184138145,314606,96708,3074888,70193
Report,2021-09-23,US,,,,,,,327988,683329,,,,N/A,N/A,N/A
Admin,2021-09-24,US,958624,325313,393344473,214055789,240675,629151,,,398808,184536953,305120,244752,3319640,93121
Report,2021-09-24,US,,,,,,,745405,653176,,,,N/A,N/A,N/A
Admin,2021-09-25,US,656108,209871,394000581,214265660,241478,650056,,,221237,184758190,298605,228473,3548113,119296
Report,2021-09-25,US,,,,,,,805580,637343,,,,N/A,N/A,N/A
Admin,2021-09-26,US,397181,123327,394397762,214388987,242147,664276,,,140154,184898344,295882,134179,3682292,135420
Report,2021-09-26,US,,,,,,,741639,646902,,,,N/A,N/A,N/A
Admin,2021-09-27,US,993754,309203,395391516,214698190,248524,710495,,,213546,185111890,277999,479145,4161437,192435
Report,2021-09-27,US,,,,,,,550595,632435,,,,N/A,N/A,N/A
Admin,2021-09-28,US,1091257,301840,396482773,215000030,254293,772209,,,292347,185404237,272537,505485,4666922,252751
Report,2021-09-28,US,,,,,,,487651,624537,,,,N/A,N/A,N/A
Admin,2021-09-29,US,1093803,297466,397576576,215297496,260442,835655,,,298876,185703113,268862,506312,5173234,313579
Report,2021-09-29,US,,,,,,,840088,642707,,,,N/A,N/A,N/A
Admin,2021-09-30,US,1113038,298826,398689614,215596322,266549,900537,,,304055,186007168,267003,518506,5691740,373836
Report,2021-09-30,US,,,,,,,917333,726899,,,,N/A,N/A,N/A
Admin,2021-10-01,US,1227696,322835,399917310,215919157,266195,938976,,,358369,186365537,261226,553512,6245252,417945
Report,2021-10-01,US,,,,,,,846871,741394,,,,N/A,N/A,N/A
Admin,2021-10-02,US,607859,177977,400525169,216097134,261639,932084,,,198827,186564364,258024,234786,6480038,418846
Report,2021-10-02,US,,,,,,,933417,759656,,,,N/A,N/A,N/A
Admin,2021-10-03,US,353542,109228,400878711,216206362,259625,925849,,,125005,186689369,255860,119898,6599936,416806
Report,2021-10-03,US,,,,,,,1244542,831500,,,,N/A,N/A,N/A
Admin,2021-10-04,US,941999,257234,401820710,216463596,252201,918456,,,243554,186932923,260147,447632,7047568,412304
Report,2021-10-04,US,,,,,,,984739,893520,,,,N/A,N/A,N/A
Admin,2021-10-05,US,974594,253827,402795304,216717423,245342,901790,,,245275,187178198,253423,483482,7531050,409161
Report,2021-10-05,US,,,,,,,798491,937926,,,,N/A,N/A,N/A
Admin,2021-10-06,US,982070,255981,403777374,216973404,239415,885828,,,246321,187424519,245915,487273,8018323,406441
Report,2021-10-06,US,,,,,,,957359,954679,,,,N/A,N/A,N/A
Admin,2021-10-07,US,957257,256368,404734631,217229772,233350,863573,,,241134,187665653,236926,468165,8486488,399250
Report,2021-10-07,US,,,,,,,877030,948921,,,,N/A,N/A,N/A
Admin,2021-10-08,US,1090347,292279,405824978,217522051,228985,843952,,,296197,187961850,228044,511254,8997742,393213
Report,2021-10-08,US,,,,,,,1116978,987508,,,,N/A,N/A,N/A
Admin,2021-10-09,US,517047,151674,406342025,217673725,225227,830979,,,161513,188123363,222714,208019,9205761,389389
Report,2021-10-09,US,,,,,,,1149818,1018422,,,,N/A,N/A,N/A
Admin,2021-10-10,US,301754,95768,406643779,217769493,223304,823581,,,100271,188223634,219180,106624,9312385,387493
Report,2021-10-10,US,,,,,,,768209,950375,,,,N/A,N/A,N/A
Admin,2021-10-11,US,817347,233805,407461126,218003298,219957,805773,,,211512,188435146,214603,380449,9692834,377895
Report,2021-10-11,US,,,,,,,486392,879182,,,,N/A,N/A,N/A
Admin,2021-10-12,US,880021,236807,408341147,218240105,217526,792263,,,221917,188657063,211266,429586,10122420,370196
Report,2021-10-12,US,,,,,,,502985,836967,,,,N/A,N/A,N/A
Admin,2021-10-13,US,856499,232941,409197646,218473046,214235,774324,,,217099,188874162,207091,416122,10538542,360031
